doctor_id,doctor_name,department_id,experience_years,consultation_fee
1087,Dr_87,3,32,1294
1088,Dr_88,1,31,1133
1089,Dr_89,8,24,1717
1090,Dr_90,3,28,2040
1091,Dr_91,3,28,528
1092,Dr_92,1,24,1688
1093,Dr_93,5,19,1945
1094,Dr_94,10,22,838
1095,Dr_95,7,12,2171
1096,Dr_96,10,8,2019
1097,Dr_97,9,17,1888
1098,Dr_98,7,24,2356
1099,Dr_99,9,13,1865
1100,Dr_100,8,30,999
1101,Dr_101,2,7,2180
1102,Dr_102,1,3,1010
1103,Dr_103,7,10,1850
1104,Dr_104,7,23,716
1105,Dr_105,8,30,1824
1106,Dr_106,5,14,1655
1107,Dr_107,3,14,2327
1108,Dr_108,8,7,1593
1109,Dr_109,6,9,1775
1110,Dr_110,3,6,1938
1111,Dr_111,1,8,2310
1112,Dr_112,3,15,944
1113,Dr_113,5,34,1375
1114,Dr_114,3,22,1705
1115,Dr_115,1,32,666
1116,Dr_116,5,17,590
1117,Dr_117,10,5,1213
1118,Dr_118,7,25,2381
1119,Dr_119,7,10,2054
1120,Dr_120,9,22,538
1121,Dr_121,10,18,1649
1122,Dr_122,10,15,1974
1123,Dr_123,3,20,672
1124,Dr_124,7,30,1152
1125,Dr_125,1,12,1253
1126,Dr_126,4,32,1743
1127,Dr_127,4,21,2161
1128,Dr_128,5,19,1581
1129,Dr_129,7,26,2183
1130,Dr_130,7,33,975
1131,Dr_131,4,21,955
1132,Dr_132,7,30,1328
1133,Dr_133,3,28,1394
1134,Dr_134,6,25,1884
1135,Dr_135,2,28,2458
1136,Dr_136,10,7,1524
1137,Dr_137,9,28,886
1138,Dr_138,5,23,2496
1139,Dr_139,6,32,847
1140,Dr_140,4,25,689
1141,Dr_141,10,33,1004
1142,Dr_142,7,11,1714
1143,Dr_143,9,14,2031
1144,Dr_144,7,23,1892
1145,Dr_145,1,3,1932
1146,Dr_146,1,28,1323
1147,Dr_147,9,28,1428
1148,Dr_148,9,3,1433
1149,Dr_149,4,17,1640
1150,Dr_150,9,4,633
1151,Dr_151,3,34,557
1152,Dr_152,7,32,2079
1153,Dr_153,6,24,1184
1154,Dr_154,8,18,1171
1155,Dr_155,9,27,672
1156,Dr_156,5,10,2352
1157,Dr_157,1,15,1314
1158,Dr_158,3,23,1672
1159,Dr_159,10,3,579
1160,Dr_160,8,18,1385
1161,Dr_161,6,31,1736
1162,Dr_162,8,9,702
1163,Dr_163,9,34,1263
1164,Dr_164,4,33,1752
1165,Dr_165,1,7,2199
1166,Dr_166,1,24,1750
1167,Dr_167,10,31,2182
1168,Dr_168,4,25,2055
1169,Dr_169,7,5,1964
1170,Dr_170,2,14,1925
1171,Dr_171,3,28,546
1172,Dr_172,1,18,1756
1173,Dr_173,5,21,1828
1174,Dr_174,1,7,2049
1175,Dr_175,8,24,1666
1176,Dr_176,1,27,1938
1177,Dr_177,1,31,2036
1178,Dr_178,2,16,1896
1179,Dr_179,2,30,2089
1180,Dr_180,6,7,2409
1181,Dr_181,7,17,1782
1182,Dr_182,5,19,1155
1183,Dr_183,1,32,970
1184,Dr_184,1,16,2476
1185,Dr_185,3,32,1470
1186,Dr_186,2,22,1535
1187,Dr_187,5,7,1853
1188,Dr_188,10,14,1235
1189,Dr_189,6,18,1283
1190,Dr_190,7,28,1467
1191,Dr_191,4,28,857
1192,Dr_192,7,18,1471
1193,Dr_193,8,23,1931
1194,Dr_194,1,9,1167
1195,Dr_195,6,6,872
1196,Dr_196,8,3,1531
1197,Dr_197,5,32,1645
1198,Dr_198,4,32,1871
1199,Dr_199,2,7,1175
1200,Dr_200,6,25,589
1201,Dr_201,6,28,2171
1202,Dr_202,1,12,1197
1203,Dr_203,9,24,1839
1204,Dr_204,6,7,1701
1205,Dr_205,3,6,1039
1206,Dr_206,4,4,1231
1207,Dr_207,4,22,1368
1208,Dr_208,3,33,540
1209,Dr_209,10,12,1239
1210,Dr_210,3,28,2227
1211,Dr_211,3,21,2446
1212,Dr_212,4,28,1001
1213,Dr_213,7,34,1458
1214,Dr_214,4,3,1668
1215,Dr_215,9,26,1724
1216,Dr_216,1,7,1428
1217,Dr_217,8,15,2247
1218,Dr_218,7,6,960
1219,Dr_219,2,18,1231
1220,Dr_220,8,26,1251
1221,Dr_221,1,18,1424
1222,Dr_222,9,25,1408
1223,Dr_223,9,4,2081
1224,Dr_224,2,19,2070
1225,Dr_225,7,30,1776
1226,Dr_226,10,34,889
1227,Dr_227,3,34,2117
1228,Dr_228,7,29,1382
1229,Dr_229,10,22,755
1230,Dr_230,9,26,1208
1231,Dr_231,4,14,2338
1232,Dr_232,1,20,2444
1233,Dr_233,2,5,949
1234,Dr_234,1,30,509
1235,Dr_235,5,3,1323
1236,Dr_236,5,3,1297
1237,Dr_237,7,31,1765
1238,Dr_238,9,21,1774
1239,Dr_239,9,13,1376
1240,Dr_240,3,7,1528
1241,Dr_241,3,14,1642
1242,Dr_242,3,5,1515
1243,Dr_243,4,3,2324
1244,Dr_244,8,3,873
1245,Dr_245,6,10,1588
1246,Dr_246,8,12,645
1247,Dr_247,1,13,723
1248,Dr_248,8,14,1762
1249,Dr_249,4,31,676
1250,Dr_250,1,15,2302
1251,Dr_251,8,14,1352
1252,Dr_252,4,33,1805
1253,Dr_253,6,16,562
1254,Dr_254,8,4,1740
1255,Dr_255,4,31,2377
1256,Dr_256,3,21,1326
1257,Dr_257,9,20,1294
1258,Dr_258,3,5,1188
1259,Dr_259,9,25,1984
1260,Dr_260,2,19,2452
1261,Dr_261,2,28,2133
1262,Dr_262,2,10,604
1263,Dr_263,6,31,1622
1264,Dr_264,3,28,1010
1265,Dr_265,9,12,884
1266,Dr_266,4,28,904
1267,Dr_267,1,32,1322
1268,Dr_268,4,4,1017
1269,Dr_269,1,21,975
1270,Dr_270,5,11,1208
1271,Dr_271,4,9,2386
1272,Dr_272,8,6,2168
1273,Dr_273,8,28,2393
1274,Dr_274,7,23,1270
1275,Dr_275,3,20,1960
1276,Dr_276,1,15,1546
1277,Dr_277,1,13,1496
1278,Dr_278,3,31,2088
1279,Dr_279,6,26,1176
1280,Dr_280,7,6,1213
1281,Dr_281,6,27,1981
1282,Dr_282,6,23,582
1283,Dr_283,6,31,1668
1284,Dr_284,3,27,1608
1285,Dr_285,6,6,1601
1286,Dr_286,8,12,956
1287,Dr_287,2,7,2401
1288,Dr_288,5,11,500
1289,Dr_289,1,26,550
1290,Dr_290,1,34,1184
1291,Dr_291,5,5,1216
1292,Dr_292,3,19,2295
1293,Dr_293,4,5,1969
1294,Dr_294,3,18,948
1295,Dr_295,1,6,1380
1296,Dr_296,1,20,987
1297,Dr_297,5,19,2323
1298,Dr_298,6,9,533
1299,Dr_299,3,34,1871
1300,Dr_300,9,26,594
